요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
ABC디톡스주스,4591,기타,사과 3개| 비트 2개| 당근 5개,1인분,아무나,15분이내,사과 당근 
ABC밥,362,끓이기,쌀 90g| 물 180ml| 비트 15g| 당근 15g| 사과껍질 1/2개분량,1인분,아무나,30분이내,사과 당근 
ABC주스,16033,기타,사과 1개| 비트 1/3개| 당근 1개| 물 1종이컵  케일 100g| 토마토 1개| 양배추 100g| 물 1종이컵,1인분,아무나,10분이내,사과 양배추 당근 배추 배 
ABC쥬스,23401,기타,사과 1개| 당근 1개| 비트 1/3개| 물 200ml 등,1인분,아무나,5분이내,사과 당근 
ACC쥬스,1854,기타,사과 1/2컵| 당근 1컵 | 물 1/2컵 | 양배추 1컵,1인분,아무나,5분이내,사과 양배추 당근 배추 배 
BCC쥬스,1410,기타,바나나1/2개| 비트 1/4컵| 당근 1/2컵| 물 1/2컵 등,1인분,아무나,5분이내,당근 
BLT샌드위치,11490,기타,식빵 3장| 양상추 2장| 토마토 1개| 베이컨 4장  허니머스터드 1큰술| 마요네즈 1큰술| 꿀 1작은술| 소금 약간| 후추 약간.,1인분,초급,30분이내,베이컨 상추 빵 
BLT피자,1281,굽기,또띠아| 피자치즈| 샐러드| 베이컨| 토마토소스| 샐러드소스,1인분,중급,60분이내,베이컨 치즈 
LA갈비구이,9951,굽기,LA갈비 2줄| 파프리카 1/4개| 가지 4쪽| 적양파 3쪽| 마늘 3개| 팽이버섯 1/4줌| 그린빈스 1줌  몬테리올스테이크시즈닝,1인분,고급,30분이내,팽이버섯 가지 마늘 양파 파프리카 
LA갈비구이로제파스타,1630,볶음,파스타면 1인분| LA갈비 1대| 양파 1/4개| 마늘2쪽| 청양고추2개  스파게티소스(크림소스) 1T| 토마토소스 1T| 우유1팩| 포도씨유 1T| 소금 조금| 파슬리가루 조금| 후추 톡톡,1인분,초급,15분이내,마늘 우유 양파 파스타 고추 
LA갈비구이알밥,751,기타,LA갈비| 밥| 단무지 3개| 김치 조금| 날치알| 김가루  버터| 참기름| 통깨,1인분,아무나,15분이내,김치 무 
LA김밥,3510,기타,어묵 볶음 1/2찬| 꽈리고추 볶음 1/2찬| 시금치 무침 1/2찬| 김밥용 양념 우엉 1/2찬| 달걀 1개| 참치 마요네즈 50g| 조미김 2봉| 고추잎 무침 1/2찬| 햇반 1개  참기름 조금| 소금 조금,1인분,아무나,30분이내,달걀 고추 무 
가다랑어포간장달걀밥,227,기타,가다랑어포 1줌| 달걀 1개| 밥 1공기| 참기름 1숟갈| 진간장 1.5숟갈,1인분,아무나,10분이내,달걀 
가도가도샐러드,494,데치기,줄기콩 3줄기| 당근 1/3 토막| 컬리플라워 1개| 달걀 1개| 템페 50g| 두부 50g  땅콩 100g| 샬롯 2개| 마늘 3톨| 매운고추 1/2개| 고춧가루 1작은스푼| 소금 1꼬집| 설탕 또는 물엿 1스푼,1인분,아무나,15분이내,당근 달걀 마늘 고추 두부 
가라아게,1236,튀김,순살가라아게 200g| 양상추 100g  진간장 1T| 물 1T| 식초 1T| 설탕 1T| 페페론치노(월남고추) 1~2개,1인분,초급,10분이내,상추 고추 
가라아게덮밥,29589,굽기,전자레인지용 가라아게 5개| 밥 1공기| 다진 대파/쪽파 약간| 양파 1개  간장 1큰술| 맛술 2큰술| 물 4큰술,1인분,아무나,30분이내,대파 양파 
가락국수,23164,끓이기,칼국수 1인분  디포리 멸치 3팩| 양파 1/2개| 무 1조각| 건고추 2개| 통마늘 1/4종이컵| 통후추 약간| 물 3L  국간장 1종이컵| 맛술 1/2종이컵| 다진 마늘 2숟가락| 다진 생강 1/3숟가락  유부 1장| 대파 1대| 쑥갓 1줌| 김가루 약간| 깨소금 1숟가락,1인분,초급,30분이내,마늘 대파 양파 고추 무 
가래떡,2653,굽기,가래떡| 꿀| 참기름,1인분,아무나,5분이내,떡 
가래떡곰돌이,267,기타,가래떡 1봉지| 꿀 2T| 검은깨 또는 통깨 2T| 곰돌이 씨리얼 1봉지,1인분,아무나,5분이내,떡 
가래떡구이,9707,굽기,가래떡| 꼬치| 올리브유  고추장| 고추가루| 땅콩| 호두 다진것| 벌꿀 2큰술| 간장 1/2큰술,1인분,아무나,10분이내,고추 떡 
가래떡그라탕,6058,볶음,가래떡 1줄| 양파중자 1개| 느타리버섯 약간| 치즈 약간| 파슬리가루 약간  케찹 2+1/2숟가락| 바질가루 약간| 통후추 약간,1인분,중급,60분이내,치즈 양파 떡 
가래떡김말이,10462,기타,가래떡 1줄| 조미김 1봉,1인분,아무나,5분이내,떡 
가래떡당고,11333,끓이기,떡볶이떡(가래떡) 500g  물 5~6T| 간장 1T| 흑설탕 2T| 올리고당 1T| 맛술 1T| 계피가루 약간| 물녹말 약간,1인분,아무나,15분이내,떡 
가래떡떡볶이,1106,끓이기,가래떡 1줄| 당면 1줌| 어묵 2장| 멸치육수| 물 1~2컵| 삶은 달걀 1개  진간장 3스푼| 고추장 2스푼| 올리고당 3스푼| 다진 청양고추 1~2스푼| 다진 마늘 1스푼| 불닭 소스 1~2스푼| 마스코바도 설탕 1스푼| 참기름 2스푼| 참깨 1스푼,1인분,아무나,15분이내,닭 달걀 마늘 고추 떡 
가래떡볶음,4786,볶음,잡채 300g | 떡국떡 300g  다싯물 1컵| 고추장 1큰술| 설탕 1스푼| 올리고당 1스푼| 후추 약간| 통깨 약간| 참기름 약간,1인분,아무나,15분이내,고추 떡 
가래떡와플,914,굽기,가래떡 2줄| 슈가파우더 약간| 아몬드 슬라이스 약간| 건포도 약간| 꿀 약간| 식용유 약간,1인분,아무나,10분이내,떡 
가래떡치즈구이,3211,굽기,시판 가래떡 1줄| 버터 1조각| 피자치즈 1큰술| 체다치즈 1장| 파마산치즈가루 1/2큰술| 파슬리 가루 1작은술 등,1인분,아무나,10분이내,치즈 떡 
가래떡치즈떡꼬치,532,굽기,케찹 3스푼| 고추장 1/2스푼| 간장 2스푼| 올리고당 2스푼| 식용유 3스푼  가래떡 3개| 치즈 1장,1인분,아무나,10분이내,치즈 고추 떡 
가래떡튀김,14980,튀김,가래떡| 달걀| 빵가루| 치즈가루  파슬리가루| 케찹| 머스타드소스| 소금 약간,1인분,초급,15분이내,치즈 달걀 떡 
가래떡파스타,1790,볶음,가래떡 1줌| 방울토마토 7-8개| 베이컨 2줄| 양파 1/2개| 모짜렐라치즈 1/2줌  발사믹식초| 양조간장| 소금 취향껏| 후추 취향껏,1인분,초급,15분이내,베이컨 치즈 양파 떡 
가래떡피자,2884,기타,가래떡 3개| 치즈 2장| 파슬리 약간,1인분,아무나,10분이내,치즈 떡 
가리비그라탕,2112,굽기,가리비 5개| 버섯 1/2개| 맛살 1줄| 파프리카 1/2개| 양파 1/2개| 모짜렐라치즈 1컵| 소금 약간| 후추 약간| 빵가루 약간  밀가루 1T| 버터 1T| 우유 200ml| 소금 약간,1인분,초급,10분이내,치즈 우유 양파 파프리카 
가리비버터볶음밥,815,볶음,가리비살 적당량| 흑미밥 1공기| 달걀 2개| 풋고추 1개  설탕 1/4T| 간장 1T| 버터 1조각| 다진마늘 1/2T| 올리고당 1T| 통깨 적당량,1인분,초급,5분이내,달걀 마늘 고추 
가리비오븐구이밥,1550,굽기,가리비 14개| 호두 1줌| 마요네즈 3큰술| 다진마늘 1/2큰술| 체다치즈 1장| 우유 2큰술| 소금 2꼬집| 묵은지| 치즈| 밥,1인분,아무나,15분이내,치즈 마늘 우유 
가리비오일파스타,8411,볶음,가리비 1kg| 푸실리 (스파게티면 아무거나 상관없음) 70g| 올리브유 3T| 마늘 10개| 페페로치노(청양고추로 대체) 5-6개| 후춧가루 약간| 소금 1/2T,1인분,아무나,30분이내,마늘 고추 무 
가리비찜,27585,찜,가리비,1인분,고급,15분이내,
가리비초고추장무침,1120,무침,가리비 10개| 양파 약간| 당근 약간| 오이고추 1개  다진대파 1큰술| 다진마늘 1작은술| 초고추장 3~4큰술| 참치액 1작은술| 참기름 1작은술| 후추 약간| 깨 약간,1인분,아무나,30분이내,당근 오이 마늘 대파 양파 고추 
가리비치즈구이,17087,굽기,활가리비| 양파| 모짜렐라치즈  폰즈,1인분,초급,15분이내,치즈 양파 
가리비칼국수,4526,끓이기,가리비 15개| 밀가루 1컵| 녹말가루 2컵| 참기름 1큰술| 물 6큰술| 호박 채 1/2줌| 당근 채 1/2줌| 양파 1/2줌| 대파 1/4대| 홍고추 1개| 육수용 물 800ml| 참치액젓 1큰술| 고명용 참기름 1작은술| 통깨 약간  고운고추가루 1큰술| 청양고추 1개| 국간장 1/2큰술| 참기름 1/2큰술| 후추가루 약간| 통깨 1작은술  고운고추가루 1큰술| 청양고추 1개| 국간장 1/2큰술| 참기름 1/2큰술| 후추가루 약간| 통깨 1작은술,1인분,초급,60분이내,당근 대파 양파 고추 
가리비크림스프,6446,끓이기,가리비 90g| 물 125g| 버터 30g| 밀가루 2Ts| 감자 60g| 양파 30g| 당근 10g| 마늘 2쪽| 화이트와인 1Ts| 우유 150g| 생크림 100g,1인분,초급,30분이내,당근 마늘 우유 양파 감자 
가리비탕,10140,끓이기,물 500ml| 손질된 가리비 7개| 무(두께 3cm) 1조각| 파 1개| 청양고추 1개| 다진 마늘 1/2큰술| 액젓 1큰술| 생강술 2큰술| 후춧가루 적당량| 소금 적당량,1인분,아무나,15분이내,마늘 고추 무 
